Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Test 98, loss: 0.945776, test acc: 0.912075, test avg acc: 0.879128
Train 99, loss: 0.853392, train acc: 0.974187, train avg acc: 0.962115
Test 99, loss: 0.947305, test acc: 0.915721, test avg acc: 0.875791
Train 100, loss: 0.854894, train acc: 0.974085, train avg acc: 0.961564
Test 100, loss: 0.948316, test acc: 0.915316, test avg acc: 0.881250
Train 101, loss: 0.855781, train acc: 0.972764, train avg acc: 0.958251
Test 101, loss: 0.946837, test acc: 0.915316, test avg acc: 0.886500
Train 102, loss: 0.850275, train acc: 0.976423, train avg acc: 0.965730
Test 102, loss: 0.941886, test acc: 0.917342, test avg acc: 0.886750
Train 103, loss: 0.852946, train acc: 0.973780, train avg acc: 0.961113
Test 103, loss: 0.950585, test acc: 0.915316, test avg acc: 0.881453
Train 104, loss: 0.851423, train acc: 0.974898, train avg acc: 0.963405
Test 104, loss: 0.943610, test acc: 0.919368, test avg acc: 0.888122
Train 105, loss: 0.848108, train acc: 0.975915, train avg acc: 0.963054
Test 105, loss: 0.942483, test acc: 0.917747, test avg acc: 0.882750
Train 106, loss: 0.851483, train acc: 0.974492, train avg acc: 0.962149
Test 106, loss: 0.948958, test acc: 0.913695, test avg acc: 0.885215
Train 107, loss: 0.850099, train acc: 0.975711, train avg acc: 0.962639
Test 107, loss: 0.943821, test acc: 0.912885, test avg acc: 0.878506
Train 108, loss: 0.850777, train acc: 0.975305, train avg acc: 0.961920
Test 108, loss: 0.943211, test acc: 0.915721, test avg acc: 0.884378
Train 109, loss: 0.850791, train acc: 0.975102, train avg acc: 0.964417
Test 109, loss: 0.944107, test acc: 0.913290, test avg acc: 0.883965
Train 110, loss: 0.847597, train acc: 0.975610, train avg acc: 0.963151
Test 110, loss: 0.949320, test acc: 0.912885, test avg acc: 0.880634
Train 111, loss: 0.850376, train acc: 0.976016, train avg acc: 0.965376
Test 111, loss: 0.948244, test acc: 0.912480, test avg acc: 0.881878
Train 112, loss: 0.850709, train acc: 0.974593, train avg acc: 0.961244
Test 112, loss: 0.939773, test acc: 0.918963, test avg acc: 0.888797
Train 113, loss: 0.847850, train acc: 0.977236, train avg acc: 0.966265
Test 113, loss: 0.950151, test acc: 0.916532, test avg acc: 0.882041
