Namespace(exp_name='LLRGM_seg', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 108, loss: 0.860090, train acc: 0.946085, train avg acc: 0.825363, train iou: 0.847345
Test 108, loss: 0.875832, test acc: 0.935292, test avg acc: 0.827986, test iou: 0.842278
Train 109, loss: 0.860042, train acc: 0.946031, train avg acc: 0.827739, train iou: 0.847084
Test 109, loss: 0.885887, test acc: 0.932877, test avg acc: 0.837648, test iou: 0.833938
Train 110, loss: 0.861524, train acc: 0.945882, train avg acc: 0.823900, train iou: 0.846360
Test 110, loss: 0.887000, test acc: 0.932905, test avg acc: 0.776798, test iou: 0.827833
Train 111, loss: 0.861429, train acc: 0.945363, train avg acc: 0.823874, train iou: 0.845610
Test 111, loss: 0.871740, test acc: 0.937392, test avg acc: 0.830783, test iou: 0.840943
Train 112, loss: 0.862706, train acc: 0.945228, train avg acc: 0.824101, train iou: 0.845925
Test 112, loss: 0.872548, test acc: 0.936223, test avg acc: 0.837887, test iou: 0.842351
Train 113, loss: 0.861742, train acc: 0.945255, train avg acc: 0.824007, train iou: 0.846726
Test 113, loss: 0.875669, test acc: 0.934825, test avg acc: 0.830860, test iou: 0.837179
Train 114, loss: 0.861911, train acc: 0.945540, train avg acc: 0.825117, train iou: 0.846269
Test 114, loss: 0.869427, test acc: 0.938081, test avg acc: 0.834473, test iou: 0.838838
Train 115, loss: 0.859571, train acc: 0.946144, train avg acc: 0.828229, train iou: 0.847493
Test 115, loss: 0.867836, test acc: 0.939679, test avg acc: 0.840942, test iou: 0.842818
Train 116, loss: 0.857317, train acc: 0.947114, train avg acc: 0.828968, train iou: 0.848785
Test 116, loss: 0.876147, test acc: 0.934368, test avg acc: 0.829398, test iou: 0.837829
Train 117, loss: 0.859692, train acc: 0.945954, train avg acc: 0.826952, train iou: 0.847289
Test 117, loss: 0.873027, test acc: 0.936949, test avg acc: 0.819930, test iou: 0.833714
Train 118, loss: 0.858907, train acc: 0.946506, train avg acc: 0.827645, train iou: 0.847138
Test 118, loss: 0.873768, test acc: 0.937267, test avg acc: 0.820582, test iou: 0.833811
Train 119, loss: 0.855785, train acc: 0.947267, train avg acc: 0.829930, train iou: 0.849201
Test 119, loss: 0.872238, test acc: 0.936650, test avg acc: 0.814887, test iou: 0.839983
Train 120, loss: 0.860640, train acc: 0.945796, train avg acc: 0.828590, train iou: 0.846936
Test 120, loss: 0.870834, test acc: 0.936773, test avg acc: 0.819296, test iou: 0.839527
Train 121, loss: 0.855357, train acc: 0.947525, train avg acc: 0.833405, train iou: 0.849481
Test 121, loss: 0.876605, test acc: 0.934640, test avg acc: 0.834419, test iou: 0.836330
Train 122, loss: 0.855328, train acc: 0.947841, train avg acc: 0.831155, train iou: 0.849470
Test 122, loss: 0.871019, test acc: 0.937685, test avg acc: 0.846501, test iou: 0.838878
Train 123, loss: 0.855600, train acc: 0.947725, train avg acc: 0.832156, train iou: 0.849965
Test 123, loss: 0.871325, test acc: 0.938411, test avg acc: 0.838307, test iou: 0.841522
Train 124, loss: 0.855201, train acc: 0.947771, train avg acc: 0.832658, train iou: 0.849549
Test 124, loss: 0.884156, test acc: 0.933022, test avg acc: 0.824421, test iou: 0.824388
Train 125, loss: 0.855875, train acc: 0.947253, train avg acc: 0.830586, train iou: 0.847944
Test 125, loss: 0.887478, test acc: 0.932410, test avg acc: 0.824771, test iou: 0.835752
Train 126, loss: 0.857032, train acc: 0.946855, train avg acc: 0.829172, train iou: 0.848291
Test 126, loss: 0.871570, test acc: 0.936614, test avg acc: 0.832350, test iou: 0.841043
Train 127, loss: 0.857422, train acc: 0.946840, train avg acc: 0.830663, train iou: 0.848745
Test 127, loss: 0.869976, test acc: 0.938413, test avg acc: 0.837393, test iou: 0.844213
Train 128, loss: 0.854183, train acc: 0.947867, train avg acc: 0.836991, train iou: 0.849736
Test 128, loss: 0.876684, test acc: 0.934915, test avg acc: 0.826746, test iou: 0.831928
Train 129, loss: 0.853001, train acc: 0.948292, train avg acc: 0.834430, train iou: 0.851395
Test 129, loss: 0.873920, test acc: 0.935507, test avg acc: 0.826596, test iou: 0.835611
Train 130, loss: 0.852166, train acc: 0.948682, train avg acc: 0.836652, train iou: 0.851734
Test 130, loss: 0.875509, test acc: 0.936878, test avg acc: 0.810222, test iou: 0.839289
Train 131, loss: 0.850620, train acc: 0.949285, train avg acc: 0.838133, train iou: 0.852310
Test 131, loss: 0.883855, test acc: 0.932523, test avg acc: 0.833701, test iou: 0.832145
Train 132, loss: 0.852438, train acc: 0.948378, train avg acc: 0.834601, train iou: 0.850772
Test 132, loss: 0.869231, test acc: 0.937855, test avg acc: 0.851578, test iou: 0.840446
Train 133, loss: 0.853121, train acc: 0.948239, train avg acc: 0.838040, train iou: 0.850628
Test 133, loss: 0.872895, test acc: 0.936635, test avg acc: 0.836275, test iou: 0.835922
Train 134, loss: 0.852204, train acc: 0.948711, train avg acc: 0.834985, train iou: 0.851395
Test 134, loss: 0.865821, test acc: 0.939139, test avg acc: 0.854643, test iou: 0.843718
Train 135, loss: 0.849205, train acc: 0.949893, train avg acc: 0.842510, train iou: 0.853284
Test 135, loss: 0.868547, test acc: 0.938415, test avg acc: 0.833353, test iou: 0.845220
Train 136, loss: 0.851048, train acc: 0.949031, train avg acc: 0.836113, train iou: 0.851992
Test 136, loss: 0.868452, test acc: 0.938790, test avg acc: 0.837595, test iou: 0.842942
Train 137, loss: 0.852835, train acc: 0.948265, train avg acc: 0.833183, train iou: 0.850294
Test 137, loss: 0.870081, test acc: 0.937898, test avg acc: 0.840869, test iou: 0.840939
Train 138, loss: 0.850306, train acc: 0.949152, train avg acc: 0.838967, train iou: 0.851890
Test 138, loss: 0.862639, test acc: 0.940773, test avg acc: 0.839712, test iou: 0.845505
Train 139, loss: 0.850486, train acc: 0.949151, train avg acc: 0.839993, train iou: 0.851719
Test 139, loss: 0.878193, test acc: 0.934064, test avg acc: 0.842221, test iou: 0.836813
Train 140, loss: 0.851640, train acc: 0.948757, train avg acc: 0.840732, train iou: 0.851167
Test 140, loss: 0.871347, test acc: 0.938232, test avg acc: 0.847234, test iou: 0.845651
Train 141, loss: 0.848109, train acc: 0.950123, train avg acc: 0.839279, train iou: 0.853966
Test 141, loss: 0.873502, test acc: 0.937461, test avg acc: 0.845105, test iou: 0.842814
Train 142, loss: 0.849397, train acc: 0.949772, train avg acc: 0.843644, train iou: 0.852777
Test 142, loss: 0.872401, test acc: 0.938164, test avg acc: 0.842804, test iou: 0.843952
Train 143, loss: 0.851100, train acc: 0.948835, train avg acc: 0.839252, train iou: 0.851802
Test 143, loss: 0.870040, test acc: 0.936765, test avg acc: 0.835975, test iou: 0.837192
Train 144, loss: 0.847653, train acc: 0.950232, train avg acc: 0.843204, train iou: 0.854270
Test 144, loss: 0.865196, test acc: 0.939220, test avg acc: 0.837773, test iou: 0.839951
