Namespace(exp_name='new_lrgm', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 87, loss: 0.856328, train acc: 0.972459, train avg acc: 0.958257
Test 87, loss: 0.942245, test acc: 0.921394, test avg acc: 0.893576
Train 88, loss: 0.856210, train acc: 0.974695, train avg acc: 0.963988
Test 88, loss: 0.943044, test acc: 0.918152, test avg acc: 0.883535
Train 89, loss: 0.852720, train acc: 0.974695, train avg acc: 0.962157
Test 89, loss: 0.939788, test acc: 0.917342, test avg acc: 0.888750
Train 90, loss: 0.855711, train acc: 0.972866, train avg acc: 0.961303
Test 90, loss: 0.935463, test acc: 0.916126, test avg acc: 0.886959
Train 91, loss: 0.854796, train acc: 0.973577, train avg acc: 0.960289
Test 91, loss: 0.939275, test acc: 0.921394, test avg acc: 0.894250
Train 92, loss: 0.851739, train acc: 0.974492, train avg acc: 0.962856
Test 92, loss: 0.931987, test acc: 0.922204, test avg acc: 0.891913
Train 93, loss: 0.851821, train acc: 0.975508, train avg acc: 0.962839
Test 93, loss: 0.941453, test acc: 0.918152, test avg acc: 0.892494
Train 94, loss: 0.853121, train acc: 0.974187, train avg acc: 0.962512
Test 94, loss: 0.934847, test acc: 0.923825, test avg acc: 0.890913
Train 95, loss: 0.855424, train acc: 0.973577, train avg acc: 0.962404
Test 95, loss: 0.938027, test acc: 0.923420, test avg acc: 0.890744
Train 96, loss: 0.851855, train acc: 0.973780, train avg acc: 0.961096
Test 96, loss: 0.939387, test acc: 0.920989, test avg acc: 0.890081
Train 97, loss: 0.851722, train acc: 0.975203, train avg acc: 0.962516
Test 97, loss: 0.938199, test acc: 0.918963, test avg acc: 0.882913
Train 98, loss: 0.851488, train acc: 0.974390, train avg acc: 0.961409
Test 98, loss: 0.936731, test acc: 0.919368, test avg acc: 0.889081
Train 99, loss: 0.850581, train acc: 0.975508, train avg acc: 0.964057
Test 99, loss: 0.936688, test acc: 0.920989, test avg acc: 0.891203
Train 100, loss: 0.851063, train acc: 0.974390, train avg acc: 0.960476
Test 100, loss: 0.939008, test acc: 0.924230, test avg acc: 0.891285
Train 101, loss: 0.849612, train acc: 0.976220, train avg acc: 0.964169
Test 101, loss: 0.938499, test acc: 0.920178, test avg acc: 0.892500
Train 102, loss: 0.844831, train acc: 0.979065, train avg acc: 0.968075
Test 102, loss: 0.934954, test acc: 0.919368, test avg acc: 0.890791
Train 103, loss: 0.849689, train acc: 0.976321, train avg acc: 0.964831
