Namespace(exp_name='part_seg_globalts', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, ptv3_patch=256, ptv3_heads=4, ptv3_morton_bits=10, no_ptv3_shift=False, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 93, loss: 0.877152, train acc: 0.940129, train avg acc: 0.799766, train iou: 0.833669
Test 93, loss: 0.886552, test acc: 0.931622, test avg acc: 0.818847, test iou: 0.824274
Train 94, loss: 0.877283, train acc: 0.940150, train avg acc: 0.801100, train iou: 0.833139
Test 94, loss: 0.886625, test acc: 0.932122, test avg acc: 0.787366, test iou: 0.827380
Train 95, loss: 0.880399, train acc: 0.939359, train avg acc: 0.798935, train iou: 0.832355
Test 95, loss: 0.888350, test acc: 0.931453, test avg acc: 0.792537, test iou: 0.822835
Train 96, loss: 0.879287, train acc: 0.939552, train avg acc: 0.796296, train iou: 0.832174
Test 96, loss: 0.879316, test acc: 0.933348, test avg acc: 0.821188, test iou: 0.832739
Train 97, loss: 0.878311, train acc: 0.939717, train avg acc: 0.798496, train iou: 0.833280
Test 97, loss: 0.883294, test acc: 0.932215, test avg acc: 0.824560, test iou: 0.835452
Train 98, loss: 0.877160, train acc: 0.940021, train avg acc: 0.798914, train iou: 0.833401
Test 98, loss: 0.878826, test acc: 0.933805, test avg acc: 0.819125, test iou: 0.834419
Train 99, loss: 0.877763, train acc: 0.940047, train avg acc: 0.802172, train iou: 0.832569
Test 99, loss: 0.887309, test acc: 0.931354, test avg acc: 0.814095, test iou: 0.829484
Train 100, loss: 0.876306, train acc: 0.940221, train avg acc: 0.800785, train iou: 0.834027
Test 100, loss: 0.878306, test acc: 0.934968, test avg acc: 0.823638, test iou: 0.832912
Train 101, loss: 0.876875, train acc: 0.940274, train avg acc: 0.798185, train iou: 0.834079
Test 101, loss: 0.888928, test acc: 0.934972, test avg acc: 0.816417, test iou: 0.832461
Train 102, loss: 0.877659, train acc: 0.940321, train avg acc: 0.800749, train iou: 0.834372
Test 102, loss: 0.888517, test acc: 0.929843, test avg acc: 0.822039, test iou: 0.824011
Train 103, loss: 0.877255, train acc: 0.940287, train avg acc: 0.797460, train iou: 0.833835
Test 103, loss: 0.888093, test acc: 0.932646, test avg acc: 0.823676, test iou: 0.828201
Train 104, loss: 0.877339, train acc: 0.940066, train avg acc: 0.800334, train iou: 0.833849
Test 104, loss: 0.885779, test acc: 0.931845, test avg acc: 0.817285, test iou: 0.825461
Train 105, loss: 0.875112, train acc: 0.940897, train avg acc: 0.805518, train iou: 0.834916
Test 105, loss: 0.897576, test acc: 0.927364, test avg acc: 0.781694, test iou: 0.816045
Train 106, loss: 0.875104, train acc: 0.940802, train avg acc: 0.804050, train iou: 0.833824
Test 106, loss: 0.882017, test acc: 0.934242, test avg acc: 0.800740, test iou: 0.830849
Train 107, loss: 0.876176, train acc: 0.940712, train avg acc: 0.798537, train iou: 0.835303
Test 107, loss: 0.888566, test acc: 0.930142, test avg acc: 0.812617, test iou: 0.826494
Train 108, loss: 0.875112, train acc: 0.940891, train avg acc: 0.803195, train iou: 0.835260
Test 108, loss: 0.886700, test acc: 0.931610, test avg acc: 0.822136, test iou: 0.826915
Train 109, loss: 0.874213, train acc: 0.940987, train avg acc: 0.805459, train iou: 0.835016
Test 109, loss: 0.873035, test acc: 0.935279, test avg acc: 0.830672, test iou: 0.833814
Train 110, loss: 0.873741, train acc: 0.941522, train avg acc: 0.807547, train iou: 0.836948
Test 110, loss: 0.886572, test acc: 0.934414, test avg acc: 0.802751, test iou: 0.828935
Train 111, loss: 0.875369, train acc: 0.940927, train avg acc: 0.802670, train iou: 0.835586
Test 111, loss: 0.906055, test acc: 0.924249, test avg acc: 0.811169, test iou: 0.825385
Train 112, loss: 0.873611, train acc: 0.941602, train avg acc: 0.807791, train iou: 0.836411
Test 112, loss: 0.889444, test acc: 0.931854, test avg acc: 0.800829, test iou: 0.829624
Train 113, loss: 0.872871, train acc: 0.941505, train avg acc: 0.805557, train iou: 0.836615
Test 113, loss: 0.889821, test acc: 0.932112, test avg acc: 0.823517, test iou: 0.829443
Train 114, loss: 0.872394, train acc: 0.941934, train avg acc: 0.809592, train iou: 0.836966
Test 114, loss: 0.878441, test acc: 0.934804, test avg acc: 0.819621, test iou: 0.829882
Train 115, loss: 0.873367, train acc: 0.941556, train avg acc: 0.804011, train iou: 0.835673
Test 115, loss: 0.884435, test acc: 0.932503, test avg acc: 0.801615, test iou: 0.827185
Train 116, loss: 0.872695, train acc: 0.941503, train avg acc: 0.808715, train iou: 0.836444
Test 116, loss: 0.875141, test acc: 0.936308, test avg acc: 0.825975, test iou: 0.836175
Train 117, loss: 0.872137, train acc: 0.941862, train avg acc: 0.808195, train iou: 0.836600
Test 117, loss: 0.879537, test acc: 0.933855, test avg acc: 0.816530, test iou: 0.830278
