Namespace(exp_name='LIDKNN_attnpoolk_best', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Test 93, loss: 0.929915, test acc: 0.925041, test avg acc: 0.888994
Train 94, loss: 0.878419, train acc: 0.964024, train avg acc: 0.945333
Test 94, loss: 0.932668, test acc: 0.924635, test avg acc: 0.895541
Train 95, loss: 0.876445, train acc: 0.966972, train avg acc: 0.948428
Test 95, loss: 0.932360, test acc: 0.921799, test avg acc: 0.885076
Train 96, loss: 0.874041, train acc: 0.966057, train avg acc: 0.949615
Test 96, loss: 0.930880, test acc: 0.924635, test avg acc: 0.886785
Train 97, loss: 0.877081, train acc: 0.967276, train avg acc: 0.950954
Test 97, loss: 0.929470, test acc: 0.919773, test avg acc: 0.886459
Train 98, loss: 0.878013, train acc: 0.963618, train avg acc: 0.944661
Test 98, loss: 0.930765, test acc: 0.920989, test avg acc: 0.887122
Train 99, loss: 0.874496, train acc: 0.968089, train avg acc: 0.951624
Test 99, loss: 0.928687, test acc: 0.921394, test avg acc: 0.885291
Train 100, loss: 0.875337, train acc: 0.969106, train avg acc: 0.953169
Test 100, loss: 0.932681, test acc: 0.923015, test avg acc: 0.891291
Train 101, loss: 0.871893, train acc: 0.967581, train avg acc: 0.953548
Test 101, loss: 0.925187, test acc: 0.924230, test avg acc: 0.887203
Train 102, loss: 0.872688, train acc: 0.968902, train avg acc: 0.954943
Test 102, loss: 0.930076, test acc: 0.924230, test avg acc: 0.889244
Train 103, loss: 0.877153, train acc: 0.965142, train avg acc: 0.948902
Test 103, loss: 0.931844, test acc: 0.922204, test avg acc: 0.888750
Train 104, loss: 0.870040, train acc: 0.971037, train avg acc: 0.957155
Test 104, loss: 0.926046, test acc: 0.923825, test avg acc: 0.888035
Train 105, loss: 0.872759, train acc: 0.966870, train avg acc: 0.950221
Test 105, loss: 0.930373, test acc: 0.918152, test avg acc: 0.884419
Train 106, loss: 0.869116, train acc: 0.967378, train avg acc: 0.951601
Test 106, loss: 0.932696, test acc: 0.920989, test avg acc: 0.891122
Train 107, loss: 0.876006, train acc: 0.964736, train avg acc: 0.946735
Test 107, loss: 0.930448, test acc: 0.923420, test avg acc: 0.889622
Train 108, loss: 0.867910, train acc: 0.970325, train avg acc: 0.954537
Test 108, loss: 0.935547, test acc: 0.921394, test avg acc: 0.887291
Train 109, loss: 0.871773, train acc: 0.966667, train avg acc: 0.948461
Test 109, loss: 0.931265, test acc: 0.926256, test avg acc: 0.891453
Train 110, loss: 0.873123, train acc: 0.967480, train avg acc: 0.950791
Test 110, loss: 0.932793, test acc: 0.919368, test avg acc: 0.888000
Train 111, loss: 0.875289, train acc: 0.968394, train avg acc: 0.953721
