Namespace(exp_name='PRWKV-IFM_LRGM', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Test 57, loss: 0.884189, test acc: 0.931765, test avg acc: 0.807756, test iou: 0.826594
Train 58, loss: 0.870849, train acc: 0.942127, train avg acc: 0.807911, train iou: 0.840302
Test 58, loss: 0.878049, test acc: 0.933723, test avg acc: 0.834370, test iou: 0.832549
Train 59, loss: 0.873744, train acc: 0.941134, train avg acc: 0.804675, train iou: 0.838866
Test 59, loss: 0.890454, test acc: 0.932129, test avg acc: 0.802650, test iou: 0.828284
Train 60, loss: 0.870025, train acc: 0.942661, train avg acc: 0.806886, train iou: 0.841765
Test 60, loss: 0.884978, test acc: 0.933592, test avg acc: 0.818087, test iou: 0.834268
Train 61, loss: 0.870622, train acc: 0.942609, train avg acc: 0.805537, train iou: 0.841968
Test 61, loss: 0.893389, test acc: 0.928358, test avg acc: 0.829510, test iou: 0.821354
Train 62, loss: 0.869346, train acc: 0.942828, train avg acc: 0.816623, train iou: 0.841989
Test 62, loss: 0.875696, test acc: 0.936002, test avg acc: 0.833116, test iou: 0.837219
Train 63, loss: 0.870108, train acc: 0.942886, train avg acc: 0.816638, train iou: 0.841898
Test 63, loss: 0.887465, test acc: 0.931142, test avg acc: 0.792643, test iou: 0.831968
Train 64, loss: 0.868816, train acc: 0.942923, train avg acc: 0.811849, train iou: 0.842524
Test 64, loss: 0.880213, test acc: 0.935314, test avg acc: 0.839106, test iou: 0.830837
Train 65, loss: 0.868197, train acc: 0.943392, train avg acc: 0.816495, train iou: 0.842660
Test 65, loss: 0.880139, test acc: 0.933099, test avg acc: 0.802273, test iou: 0.823824
Train 66, loss: 0.866199, train acc: 0.944016, train avg acc: 0.815898, train iou: 0.843410
Test 66, loss: 0.877354, test acc: 0.934937, test avg acc: 0.828678, test iou: 0.838644
Train 67, loss: 0.868536, train acc: 0.943093, train avg acc: 0.812665, train iou: 0.842352
Test 67, loss: 0.874545, test acc: 0.936126, test avg acc: 0.838836, test iou: 0.832295
Train 68, loss: 0.868972, train acc: 0.943345, train avg acc: 0.814658, train iou: 0.841985
Test 68, loss: 0.877033, test acc: 0.934845, test avg acc: 0.827578, test iou: 0.834166
Train 69, loss: 0.869646, train acc: 0.943164, train avg acc: 0.814786, train iou: 0.842819
Test 69, loss: 0.874647, test acc: 0.936245, test avg acc: 0.833421, test iou: 0.839168
Train 70, loss: 0.868095, train acc: 0.943068, train avg acc: 0.810222, train iou: 0.842546
Test 70, loss: 0.894998, test acc: 0.929099, test avg acc: 0.813825, test iou: 0.825148
Train 71, loss: 0.871303, train acc: 0.942080, train avg acc: 0.807930, train iou: 0.840402
Test 71, loss: 0.874149, test acc: 0.935942, test avg acc: 0.825720, test iou: 0.835070
Train 72, loss: 0.866108, train acc: 0.944090, train avg acc: 0.818585, train iou: 0.843793
Test 72, loss: 0.899890, test acc: 0.930569, test avg acc: 0.816506, test iou: 0.829880
Train 73, loss: 0.866227, train acc: 0.943898, train avg acc: 0.812704, train iou: 0.843326
Test 73, loss: 0.880549, test acc: 0.934580, test avg acc: 0.823519, test iou: 0.835784
Train 74, loss: 0.864723, train acc: 0.944831, train avg acc: 0.818582, train iou: 0.845068
Test 74, loss: 0.873510, test acc: 0.937241, test avg acc: 0.825413, test iou: 0.840680
Train 75, loss: 0.864471, train acc: 0.944534, train avg acc: 0.817456, train iou: 0.844695
Test 75, loss: 0.881644, test acc: 0.934161, test avg acc: 0.790716, test iou: 0.831123
Train 76, loss: 0.866763, train acc: 0.943679, train avg acc: 0.814319, train iou: 0.843109
Test 76, loss: 0.874186, test acc: 0.935897, test avg acc: 0.829155, test iou: 0.836664
Train 77, loss: 0.867841, train acc: 0.943624, train avg acc: 0.814898, train iou: 0.842925
Test 77, loss: 0.884582, test acc: 0.932803, test avg acc: 0.824645, test iou: 0.829038
Train 78, loss: 0.863154, train acc: 0.944870, train avg acc: 0.820938, train iou: 0.844828
Test 78, loss: 0.876601, test acc: 0.934641, test avg acc: 0.831635, test iou: 0.834024
Train 79, loss: 0.866134, train acc: 0.943689, train avg acc: 0.818501, train iou: 0.844636
Test 79, loss: 0.896592, test acc: 0.928259, test avg acc: 0.802594, test iou: 0.819784
Train 80, loss: 0.866687, train acc: 0.943999, train avg acc: 0.820336, train iou: 0.844396
Test 80, loss: 0.911680, test acc: 0.923096, test avg acc: 0.803076, test iou: 0.821381
Train 81, loss: 0.866101, train acc: 0.943665, train avg acc: 0.813816, train iou: 0.843365
Test 81, loss: 0.878006, test acc: 0.934507, test avg acc: 0.824660, test iou: 0.832616
Train 82, loss: 0.863960, train acc: 0.944575, train avg acc: 0.819155, train iou: 0.845053
Test 82, loss: 0.877810, test acc: 0.934908, test avg acc: 0.814294, test iou: 0.830601
Train 83, loss: 0.865329, train acc: 0.944273, train avg acc: 0.819796, train iou: 0.844359
Test 83, loss: 0.880893, test acc: 0.933329, test avg acc: 0.839205, test iou: 0.837247
Train 84, loss: 0.864547, train acc: 0.944362, train avg acc: 0.818243, train iou: 0.844616
Test 84, loss: 0.881075, test acc: 0.933237, test avg acc: 0.810569, test iou: 0.834370
Train 85, loss: 0.863689, train acc: 0.945073, train avg acc: 0.822337, train iou: 0.845847
Test 85, loss: 0.877257, test acc: 0.937414, test avg acc: 0.819600, test iou: 0.842430
Train 86, loss: 0.864226, train acc: 0.944670, train avg acc: 0.819401, train iou: 0.844604
Test 86, loss: 0.879998, test acc: 0.933036, test avg acc: 0.821888, test iou: 0.829810
Train 87, loss: 0.863040, train acc: 0.944944, train avg acc: 0.821543, train iou: 0.845917
Test 87, loss: 0.872785, test acc: 0.937129, test avg acc: 0.821243, test iou: 0.840212
Train 88, loss: 0.862555, train acc: 0.945234, train avg acc: 0.820284, train iou: 0.845876
Test 88, loss: 0.879795, test acc: 0.932974, test avg acc: 0.809543, test iou: 0.830321
Train 89, loss: 0.861543, train acc: 0.945376, train avg acc: 0.821842, train iou: 0.846495
Test 89, loss: 0.888019, test acc: 0.931542, test avg acc: 0.810037, test iou: 0.824844
Train 90, loss: 0.862327, train acc: 0.945305, train avg acc: 0.823739, train iou: 0.845978
Test 90, loss: 0.891523, test acc: 0.929283, test avg acc: 0.801792, test iou: 0.828520
