Namespace(exp_name='LPR++', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 70, loss: 0.890438, train acc: 0.960467, train avg acc: 0.941455
Test 70, loss: 0.945265, test acc: 0.914911, test avg acc: 0.883372
Train 71, loss: 0.895641, train acc: 0.960264, train avg acc: 0.939915
Test 71, loss: 0.955231, test acc: 0.919368, test avg acc: 0.889372
Train 72, loss: 0.894443, train acc: 0.959248, train avg acc: 0.939018
Test 72, loss: 0.945987, test acc: 0.920178, test avg acc: 0.887581
Train 73, loss: 0.891187, train acc: 0.960772, train avg acc: 0.941714
Test 73, loss: 0.944524, test acc: 0.921394, test avg acc: 0.886703
Train 74, loss: 0.894628, train acc: 0.959654, train avg acc: 0.941780
Test 74, loss: 0.946667, test acc: 0.922609, test avg acc: 0.894372
Train 75, loss: 0.893271, train acc: 0.960163, train avg acc: 0.939303
Test 75, loss: 0.945688, test acc: 0.921799, test avg acc: 0.894872
Train 76, loss: 0.892864, train acc: 0.960874, train avg acc: 0.939161
Test 76, loss: 0.945619, test acc: 0.919368, test avg acc: 0.884128
Train 77, loss: 0.888666, train acc: 0.961992, train avg acc: 0.941648
Test 77, loss: 0.948547, test acc: 0.918152, test avg acc: 0.889215
Train 78, loss: 0.892106, train acc: 0.961890, train avg acc: 0.942581
Test 78, loss: 0.945729, test acc: 0.916532, test avg acc: 0.881000
Train 79, loss: 0.889132, train acc: 0.963618, train avg acc: 0.946629
Test 79, loss: 0.945046, test acc: 0.920989, test avg acc: 0.886337
Train 80, loss: 0.886253, train acc: 0.962907, train avg acc: 0.944954
Test 80, loss: 0.938311, test acc: 0.923420, test avg acc: 0.887372
Train 81, loss: 0.884698, train acc: 0.963516, train avg acc: 0.943879
Test 81, loss: 0.941714, test acc: 0.920178, test avg acc: 0.883750
Train 82, loss: 0.884510, train acc: 0.964024, train avg acc: 0.946255
Test 82, loss: 0.938520, test acc: 0.921394, test avg acc: 0.891622
Train 83, loss: 0.882166, train acc: 0.962907, train avg acc: 0.947080
Test 83, loss: 0.938789, test acc: 0.920989, test avg acc: 0.885081
