Namespace(exp_name='exp', model='GTNet', dataset='modelnet40', batch_size=4, test_batch_size=8, epochs=250, use_sgd=True, lr=1e-05, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 124, loss: 1.549378, train acc: 0.926118, train avg acc: 0.894769
Test 124, loss: 1.518051, test acc: 0.914100, test avg acc: 0.879907
Train 125, loss: 1.549524, train acc: 0.930793, train avg acc: 0.897802
Test 125, loss: 1.519076, test acc: 0.914506, test avg acc: 0.873163
Train 126, loss: 1.548799, train acc: 0.929878, train avg acc: 0.900276
Test 126, loss: 1.525860, test acc: 0.910049, test avg acc: 0.869215
Train 127, loss: 1.553676, train acc: 0.927642, train avg acc: 0.898798
Test 127, loss: 1.516882, test acc: 0.915316, test avg acc: 0.883372
Train 128, loss: 1.545503, train acc: 0.932215, train avg acc: 0.902807
Test 128, loss: 1.512010, test acc: 0.914100, test avg acc: 0.877500
Train 129, loss: 1.546398, train acc: 0.933232, train avg acc: 0.898629
Test 129, loss: 1.519748, test acc: 0.919368, test avg acc: 0.884250
Train 130, loss: 1.543724, train acc: 0.931707, train avg acc: 0.900492
Test 130, loss: 1.518307, test acc: 0.914911, test avg acc: 0.875506
Train 131, loss: 1.554291, train acc: 0.927744, train avg acc: 0.897083
Test 131, loss: 1.517993, test acc: 0.911669, test avg acc: 0.865831
Train 132, loss: 1.549247, train acc: 0.933638, train avg acc: 0.905338
Test 132, loss: 1.531027, test acc: 0.916532, test avg acc: 0.881169
Train 133, loss: 1.541083, train acc: 0.934858, train avg acc: 0.904113
Test 133, loss: 1.519035, test acc: 0.909643, test avg acc: 0.872994
Train 134, loss: 1.545163, train acc: 0.935671, train avg acc: 0.905732
Test 134, loss: 1.524445, test acc: 0.913290, test avg acc: 0.881157
Train 135, loss: 1.550724, train acc: 0.932114, train avg acc: 0.901281
Test 135, loss: 1.514129, test acc: 0.912480, test avg acc: 0.875953
